family,run,arm,seed,steps,n_validations,loss,micro_f,micro_p,micro_r,macro_f
encoder,clean-s42,clean,42,4000,8,0.002068,0.923395,0.923395,0.923395,0.844382
encoder,clean-s43,clean,43,4000,8,0.002072,0.92305,0.92305,0.92305,0.840195
encoder,clean-s44,clean,44,4000,8,0.002983,0.927191,0.927191,0.927191,0.852087
encoder,clean-s45,clean,45,4000,8,0.001921,0.9196,0.9196,0.9196,0.841437
encoder,clean-s46,clean,46,4000,8,0.001999,0.925121,0.925121,0.925121,0.842753
encoder,clean-s47,clean,47,4000,8,0.00268,0.923395,0.923395,0.923395,0.846281
encoder,clean_v4_fiab-s42,clean_v4_fiab,42,4000,8,0.000834,0.883023,0.883023,0.883023,0.779736
encoder,clean_v4_fiab-s43,clean_v4_fiab,43,4000,8,0.000909,0.886818,0.886818,0.886818,0.787157
encoder,clean_v4_fiab-s44,clean_v4_fiab,44,4000,8,0.001015,0.888544,0.888544,0.888544,0.785435
encoder,clean_v4_fiab-s45,clean_v4_fiab,45,4000,8,0.001183,0.884403,0.884403,0.884403,0.776136
encoder,clean_v4_fiab-s46,clean_v4_fiab,46,4000,8,0.000932,0.891649,0.891649,0.891649,0.791707
encoder,clean_v4_fiab-s47,clean_v4_fiab,47,4000,8,0.001253,0.882678,0.882678,0.882678,0.774035
encoder,clean_v4_verif-s42,clean_v4_verif,42,4000,8,0.002511,0.923395,0.923395,0.923395,0.850031
encoder,clean_v4_verif-s43,clean_v4_verif,43,4000,8,0.002619,0.924086,0.924086,0.924086,0.849559
encoder,clean_v4_verif-s44,clean_v4_verif,44,4000,8,0.003165,0.927536,0.927536,0.927536,0.848899
encoder,clean_v4_verif-s45,clean_v4_verif,45,4000,8,0.002501,0.922015,0.922015,0.922015,0.83352
encoder,clean_v4_verif-s46,clean_v4_verif,46,4000,8,0.001744,0.926501,0.926501,0.926501,0.855329
encoder,clean_v4_verif-s47,clean_v4_verif,47,4000,8,0.003024,0.929607,0.929607,0.929607,0.85701
encoder,clean_v4_veto-s42,clean_v4_veto,42,4000,8,0.000413,0.792616,0.792616,0.792616,0.660468
encoder,clean_v4_veto-s43,clean_v4_veto,43,4000,8,0.000454,0.795031,0.795031,0.795031,0.663421
encoder,clean_v4_veto-s44,clean_v4_veto,44,4000,8,0.000495,0.797792,0.797792,0.797792,0.666339
encoder,clean_v4_veto-s45,clean_v4_veto,45,4000,8,0.000428,0.794341,0.794341,0.794341,0.665986
encoder,clean_v4_veto-s46,clean_v4_veto,46,4000,8,0.000411,0.795721,0.795721,0.795721,0.658458
encoder,clean_v4_veto-s47,clean_v4_veto,47,4000,8,0.000407,0.789855,0.789855,0.789855,0.656447
encoder,cln_rnd_v4_fiab-s42,cln_rnd_v4_fiab,42,4000,8,0.001593,0.913389,0.913389,0.913389,0.831654
encoder,cln_rnd_v4_fiab-s43,cln_rnd_v4_fiab,43,4000,8,0.001393,0.916839,0.916839,0.916839,0.825184
encoder,cln_rnd_v4_fiab-s44,cln_rnd_v4_fiab,44,4000,8,0.001328,0.922015,0.922015,0.922015,0.828801
encoder,cln_rnd_v4_fiab-s45,cln_rnd_v4_fiab,45,4000,8,0.001213,0.91891,0.91891,0.91891,0.828702
encoder,cln_rnd_v4_fiab-s46,cln_rnd_v4_fiab,46,4000,8,0.001345,0.917529,0.917529,0.917529,0.829475
encoder,cln_rnd_v4_fiab-s47,cln_rnd_v4_fiab,47,4000,8,0.00119,0.92236,0.92236,0.92236,0.839645
encoder,cln_rnd_v4_verif-s42,cln_rnd_v4_verif,42,4000,8,0.002482,0.927881,0.927881,0.927881,0.859518
encoder,cln_rnd_v4_verif-s43,cln_rnd_v4_verif,43,4000,8,0.002334,0.924776,0.924776,0.924776,0.845233
encoder,cln_rnd_v4_verif-s44,cln_rnd_v4_verif,44,4000,8,0.002483,0.924431,0.924431,0.924431,0.842418
encoder,cln_rnd_v4_verif-s45,cln_rnd_v4_verif,45,4000,8,0.002639,0.928571,0.928571,0.928571,0.855541
encoder,cln_rnd_v4_verif-s46,cln_rnd_v4_verif,46,4000,8,0.00185,0.928571,0.928571,0.928571,0.851706
encoder,cln_rnd_v4_verif-s47,cln_rnd_v4_verif,47,4000,8,0.003161,0.927536,0.927536,0.927536,0.849578
encoder,cln_rnd_v4_veto-s42,cln_rnd_v4_veto,42,4000,8,0.000739,0.898206,0.898206,0.898206,0.792319
encoder,cln_rnd_v4_veto-s43,cln_rnd_v4_veto,43,4000,8,0.000772,0.903382,0.903382,0.903382,0.797998
encoder,cln_rnd_v4_veto-s44,cln_rnd_v4_veto,44,4000,8,0.000766,0.903037,0.903037,0.903037,0.794921
encoder,cln_rnd_v4_veto-s45,cln_rnd_v4_veto,45,4000,8,0.000785,0.902346,0.902346,0.902346,0.799465
encoder,cln_rnd_v4_veto-s46,cln_rnd_v4_veto,46,4000,8,0.000713,0.909593,0.909593,0.909593,0.812067
encoder,cln_rnd_v4_veto-s47,cln_rnd_v4_veto,47,4000,8,0.000768,0.905107,0.905107,0.905107,0.805079
encoder,filt_v4_fiab-s42,filt_v4_fiab,42,4000,8,0.003725,0.813665,0.813665,0.813665,0.68748
encoder,filt_v4_fiab-s43,filt_v4_fiab,43,4000,8,0.00503,0.809869,0.809869,0.809869,0.679427
encoder,filt_v4_fiab-s44,filt_v4_fiab,44,4000,8,0.003687,0.808144,0.808144,0.808144,0.6727
encoder,filt_v4_fiab-s45,filt_v4_fiab,45,4000,8,0.003955,0.823326,0.823326,0.823326,0.693571
encoder,filt_v4_fiab-s46,filt_v4_fiab,46,4000,8,0.00452,0.809869,0.809869,0.809869,0.684898
encoder,filt_v4_fiab-s47,filt_v4_fiab,47,4000,8,0.004298,0.815735,0.815735,0.815735,0.678389
encoder,filt_v4_verif-s42,filt_v4_verif,42,4000,8,0.269585,0.805728,0.805728,0.805728,0.660238
encoder,filt_v4_verif-s43,filt_v4_verif,43,4000,8,0.235197,0.796066,0.796066,0.796066,0.634909
encoder,filt_v4_verif-s44,filt_v4_verif,44,4000,8,0.22963,0.795376,0.795376,0.795376,0.639032
encoder,filt_v4_verif-s45,filt_v4_verif,45,4000,8,0.26795,0.78951,0.78951,0.78951,0.633072
encoder,filt_v4_verif-s46,filt_v4_verif,46,4000,8,0.212718,0.792271,0.792271,0.792271,0.632678
encoder,filt_v4_verif-s47,filt_v4_verif,47,4000,8,0.254985,0.800207,0.800207,0.800207,0.642546
encoder,filt_v4_veto-s42,filt_v4_veto,42,4000,8,0.001376,0.831263,0.831263,0.831263,0.706033
encoder,filt_v4_veto-s43,filt_v4_veto,43,4000,8,0.001368,0.826087,0.826087,0.826087,0.692337
encoder,filt_v4_veto-s44,filt_v4_veto,44,4000,8,0.00107,0.837129,0.837129,0.837129,0.700698
encoder,filt_v4_veto-s45,filt_v4_veto,45,4000,8,0.00098,0.834023,0.834023,0.834023,0.696746
encoder,filt_v4_veto-s46,filt_v4_veto,46,4000,8,0.000953,0.832298,0.832298,0.832298,0.70611
encoder,filt_v4_veto-s46.PARTIEL_3500pas,filt_v4_veto-s46.PARTIEL_3500pas,,3500,7,0.001772,0.832643,0.832643,0.832643,0.707711
encoder,filt_v4_veto-s47,filt_v4_veto,47,4000,8,0.001314,0.829538,0.829538,0.829538,0.703818
encoder,hp-drop005,hp-drop005,,4000,8,0.001762,0.925811,0.925811,0.925811,0.850095
encoder,hp-drop02,hp-drop02,,4000,8,0.002588,0.928226,0.928226,0.928226,0.861359
encoder,hp-drop04,hp-drop04,,4000,8,0.007291,0.922015,0.922015,0.922015,0.843655
